bairro_a,bairro_b
Casa Amarela,Vasco da Gama
Jaqueira,Tamarineira
Casa Amarela,Morro da Conceição
Areias,Jardim São Paulo
Tejipió,Várzea
Coqueiral,Curado
Parnamirim,Santana
Cordeiro,Engenho do Meio
Casa Amarela,Nova Descoberta
Nova Descoberta,Vasco da Gama
Iputinga,Monteiro
Alto do Mandu,Monteiro
Alto do Mandu,Casa Amarela
Macaxeira,Nova Descoberta
Alto do Mandu,Macaxeira
Casa Forte,Parnamirim
Espinheiro,Santo Amaro
Graças,Santo Amaro
Parnamirim,Poço
Encruzilhada,Rosarinho
Encruzilhada,Santo Amaro
Mangabeira,Tamarineira
Alto José do Pinho,Mangabeira
Alto José do Pinho,Morro da Conceição
Casa Amarela,Poço
Casa Amarela,Monteiro
Encruzilhada,Graças
Guabiraba,Passarinho
Apipucos,Macaxeira
Córrego do Jenipapo,Macaxeira
Aflitos,Espinheiro
Brejo de Beberibe,Vasco da Gama
Brejo de Beberibe,Nova Descoberta
Morro da Conceição,Vasco da Gama
Brejo da Guabiraba,Brejo de Beberibe
Brejo de Beberibe,Passarinho
Passarinho,São José
Encruzilhada,Tamarineira
Apipucos,Córrego do Jenipapo
Brejo da Guabiraba,Córrego do Jenipapo
Bomba do Hemetério,Água Fria
Alto José do Pinho,Bomba do Hemetério
Alto José Bonifácio,Alto José do Pinho
Alto José Bonifácio,Linha do Tiro
Beberibe,Linha do Tiro
Beberibe,Porto da Madeira
Fundão,Porto da Madeira
Fundão,Água Fria
Arruda,Água Fria
Arruda,Ponto de Parada
Encruzilhada,Ponto de Parada
Cajueiro,Fundão
Cajueiro,Porto da Madeira
Brejo de Beberibe,Linha do Tiro
Alto José Bonifácio,Brejo de Beberibe
Alto José Bonifácio,Morro da Conceição
Alto José do Pinho,Casa Amarela
Arruda,Bomba do Hemetério
Alto José Bonifácio,Alto Santa Teresinha
Alto Santa Teresinha,Linha do Tiro
Alto Santa Teresinha,Água Fria
Alto Santa Teresinha,Bomba do Hemetério
Porto da Madeira,Água Fria
Alto José do Pinho,Alto Santa Teresinha
Alto Santa Teresinha,Morro da Conceição
Alto Santa Teresinha,Recife
Dois Unidos,Linha do Tiro
Arruda,Campina do Barreto
Cajueiro,Campina do Barreto
Campina do Barreto,Água Fria
Campina do Barreto,Fundão
Dois Unidos,Passarinho
Beberibe,Dois Unidos
Brejo de Beberibe,Dois Unidos
Arruda,Fundão
Ponto de Parada,Santo Amaro
Linha do Tiro,Água Fria
Bomba do Hemetério,Mangabeira
Arruda,Tamarineira
Campo Grande,Peixinhos
Campo Grande,Santo Amaro
Campo Grande,Ilha Joana Bezerra
Passarinho,Peixinhos
Ilha Joana Bezerra,Jardim São Paulo
