origem,destino,tempo,linha,tipo_via,distancia_m,peso
estacao_455,estacao_291,32,L38,local,16640,32
estacao_317,estacao_41,54,L43,local,42606,54
estacao_267,estacao_161,34,L14,local,29444,34
estacao_160,estacao_122,34,L26,avenida,28662,34
estacao_330,estacao_153,59,L21,avenida,29736,59
estacao_234,estacao_318,73,L7,avenida,56575,73
estacao_109,estacao_259,34,L9,coletora,32334,34
estacao_35,estacao_450,32,L24,coletora,18560,32
estacao_224,estacao_426,70,L46,coletora,56910,70
estacao_413,estacao_334,68,L1,local,62424,68
estacao_283,estacao_153,85,L7,avenida,53975,85
estacao_59,estacao_455,14,L48,local,8106,14
estacao_139,estacao_144,78,L14,local,52650,78
estacao_104,estacao_351,82,L17,local,61500,82
estacao_128,estacao_463,7,L6,local,5012,7
estacao_424,estacao_141,6,L1,coletora,5364,6
estacao_66,estacao_326,34,L11,local,24684,34
estacao_282,estacao_361,55,L36,avenida,30635,55
estacao_38,estacao_483,89,L10,local,46102,89
estacao_427,estacao_189,75,L36,avenida,54000,75
estacao_65,estacao_21,40,L24,avenida,38400,40
estacao_183,estacao_107,88,L16,local,48576,88
estacao_181,estacao_399,72,L27,local,63576,72
estacao_79,estacao_473,31,L11,avenida,29481,31
estacao_211,estacao_12,23,L48,coletora,20700,23
estacao_476,estacao_210,86,L48,avenida,54696,86
estacao_81,estacao_403,90,L7,coletora,85140,90
estacao_19,estacao_439,61,L15,avenida,55998,61
estacao_470,estacao_235,45,L20,avenida,27630,45
estacao_12,estacao_337,25,L26,coletora,16050,25
estacao_442,estacao_35,99,L18,coletora,81972,99
estacao_260,estacao_204,87,L35,coletora,85260,87
estacao_14,estacao_59,34,L12,local,33728,34
estacao_135,estacao_19,14,L39,coletora,9464,14
estacao_373,estacao_402,41,L28,local,31201,41
estacao_59,estacao_197,74,L13,coletora,38628,74
estacao_362,estacao_223,1,L34,local,851,1
estacao_368,estacao_481,95,L48,local,57000,95
estacao_186,estacao_220,9,L43,coletora,7371,9
estacao_160,estacao_339,16,L47,coletora,12144,16
estacao_158,estacao_341,53,L21,coletora,45368,53
estacao_151,estacao_283,17,L13,coletora,14280,17
estacao_481,estacao_194,87,L48,avenida,70905,87
estacao_291,estacao_154,52,L36,avenida,34060,52
estacao_146,estacao_107,56,L38,local,46760,56
estacao_164,estacao_238,57,L29,local,34713,57
estacao_261,estacao_242,95,L11,local,51585,95
estacao_145,estacao_263,85,L41,local,57035,85
estacao_47,estacao_419,97,L16,local,63826,97
estacao_115,estacao_412,26,L10,avenida,13598,26
estacao_125,estacao_243,79,L50,avenida,57907,79
estacao_212,estacao_453,81,L37,avenida,70227,81
estacao_356,estacao_196,64,L26,avenida,36800,64
estacao_335,estacao_352,1,L49,avenida,898,1
estacao_217,estacao_112,23,L45,local,16951,23
estacao_25,estacao_285,32,L8,coletora,18176,32
estacao_410,estacao_237,86,L34,local,69144,86
estacao_162,estacao_486,97,L29,local,88949,97
estacao_368,estacao_456,65,L28,local,47320,65
estacao_459,estacao_81,96,L31,coletora,60672,96
estacao_384,estacao_126,82,L18,local,61336,82
estacao_320,estacao_122,36,L29,avenida,31140,36
estacao_146,estacao_120,35,L22,coletora,33495,35
estacao_276,estacao_41,18,L10,avenida,12528,18
estacao_355,estacao_78,91,L14,avenida,64792,91
estacao_208,estacao_169,70,L30,coletora,37170,70
estacao_105,estacao_426,54,L25,local,53136,54
estacao_356,estacao_10,98,L37,coletora,72912,98
estacao_3,estacao_482,46,L20,coletora,43056,46
estacao_456,estacao_488,54,L35,local,47304,54
estacao_279,estacao_409,78,L15,coletora,47736,78
estacao_139,estacao_223,63,L2,coletora,42336,63
estacao_342,estacao_347,52,L47,avenida,48360,52
estacao_239,estacao_470,17,L40,local,8721,17
estacao_464,estacao_201,76,L37,local,38988,76
estacao_42,estacao_329,55,L9,coletora,32615,55
estacao_25,estacao_133,49,L21,avenida,35868,49
estacao_167,estacao_172,98,L25,coletora,86730,98
estacao_487,estacao_425,54,L17,avenida,39960,54
estacao_9,estacao_383,70,L4,coletora,42980,70
estacao_332,estacao_35,100,L42,avenida,88600,100
estacao_15,estacao_486,32,L13,avenida,26176,32
estacao_78,estacao_122,17,L31,local,9486,17
estacao_288,estacao_485,28,L30,local,17668,28
estacao_392,estacao_188,22,L39,local,21846,22
estacao_382,estacao_367,15,L50,avenida,14895,15
estacao_159,estacao_55,75,L2,coletora,59550,75
estacao_346,estacao_464,49,L26,local,29449,49
estacao_38,estacao_303,89,L41,avenida,49128,89
estacao_356,estacao_395,39,L44,local,35568,39
estacao_61,estacao_407,73,L3,coletora,56356,73
estacao_219,estacao_338,48,L5,local,39888,48
estacao_174,estacao_6,54,L32,avenida,38934,54
estacao_491,estacao_185,82,L30,local,47396,82
estacao_222,estacao_90,94,L34,local,59972,94
estacao_315,estacao_413,69,L50,coletora,50922,69
estacao_223,estacao_422,94,L38,coletora,62510,94
estacao_436,estacao_125,12,L18,coletora,7488,12
estacao_384,estacao_237,73,L40,local,50662,73
estacao_172,estacao_14,64,L21,avenida,47936,64
estacao_108,estacao_181,34,L22,coletora,32300,34
estacao_305,estacao_359,36,L36,avenida,27504,36
estacao_485,estacao_97,11,L16,local,7788,11
estacao_250,estacao_284,98,L16,local,72814,98
estacao_330,estacao_364,63,L29,avenida,34461,63
estacao_150,estacao_113,52,L45,avenida,34112,52
estacao_339,estacao_297,48,L31,local,37008,48
estacao_176,estacao_217,96,L36,coletora,65280,96
estacao_359,estacao_232,35,L20,coletora,21630,35
estacao_61,estacao_369,25,L21,avenida,22000,25
estacao_274,estacao_486,98,L45,avenida,58604,98
estacao_110,estacao_378,62,L18,local,49662,62
estacao_389,estacao_268,77,L19,avenida,71302,77
estacao_99,estacao_151,30,L24,avenida,19620,30
estacao_7,estacao_362,69,L9,coletora,36087,69
estacao_498,estacao_27,71,L19,local,69793,71
estacao_64,estacao_326,97,L32,avenida,91762,97
estacao_6,estacao_293,37,L31,coletora,26825,37
estacao_174,estacao_94,7,L17,coletora,3906,7
estacao_420,estacao_33,52,L32,avenida,41340,52
estacao_322,estacao_351,7,L10,avenida,6405,7
estacao_155,estacao_43,32,L8,local,28512,32
estacao_213,estacao_310,77,L40,avenida,69069,77
estacao_267,estacao_194,58,L29,coletora,54520,58
estacao_301,estacao_219,40,L37,local,21200,40
estacao_312,estacao_491,95,L7,avenida,77900,95
estacao_108,estacao_135,85,L6,avenida,52870,85
estacao_88,estacao_282,10,L11,avenida,7090,10
estacao_230,estacao_352,77,L31,coletora,39732,77
estacao_118,estacao_147,91,L19,local,85540,91
estacao_232,estacao_36,88,L15,coletora,79464,88
estacao_405,estacao_320,76,L43,avenida,54492,76
estacao_58,estacao_278,29,L42,avenida,27985,29
estacao_136,estacao_423,19,L5,avenida,11096,19
estacao_405,estacao_157,77,L48,local,74767,77
estacao_147,estacao_224,16,L30,local,10480,16
estacao_358,estacao_206,35,L33,local,26320,35
estacao_224,estacao_41,77,L3,coletora,67452,77
estacao_165,estacao_309,33,L2,avenida,20361,33
estacao_492,estacao_345,74,L38,avenida,65934,74
estacao_344,estacao_420,35,L37,avenida,31150,35
estacao_387,estacao_89,61,L34,local,44286,61
estacao_469,estacao_142,24,L38,coletora,19800,24
estacao_416,estacao_251,12,L31,coletora,8508,12
estacao_170,estacao_164,86,L7,avenida,57448,86
estacao_210,estacao_355,64,L19,local,62912,64
estacao_205,estacao_416,98,L36,avenida,71736,98
estacao_45,estacao_161,33,L21,avenida,32868,33
estacao_395,estacao_206,66,L1,local,62370,66
estacao_277,estacao_236,53,L4,avenida,40545,53
estacao_185,estacao_318,97,L32,local,70422,97
estacao_389,estacao_26,27,L18,local,15309,27
estacao_474,estacao_147,57,L45,coletora,32034,57
estacao_14,estacao_498,81,L39,avenida,69903,81
estacao_81,estacao_159,71,L1,local,50268,71
estacao_47,estacao_115,15,L30,avenida,12465,15
estacao_426,estacao_78,64,L46,coletora,48640,64
estacao_361,estacao_139,54,L31,coletora,33696,54
estacao_233,estacao_282,19,L25,avenida,18449,19
estacao_306,estacao_260,96,L9,avenida,61536,96
estacao_395,estacao_404,54,L22,local,34344,54
estacao_420,estacao_1,37,L47,coletora,34336,37
estacao_300,estacao_296,85,L32,avenida,61880,85
estacao_275,estacao_247,45,L22,local,40050,45
estacao_278,estacao_193,59,L21,avenida,50563,59
estacao_122,estacao_292,50,L15,coletora,26100,50
estacao_162,estacao_381,61,L46,coletora,42517,61
estacao_339,estacao_405,84,L10,coletora,83412,84
estacao_18,estacao_64,65,L38,coletora,61425,65
estacao_51,estacao_447,57,L7,local,55062,57
estacao_233,estacao_7,93,L10,coletora,87885,93
estacao_335,estacao_496,20,L5,coletora,18000,20
estacao_496,estacao_135,44,L40,local,30932,44
estacao_332,estacao_41,43,L44,local,29842,43
estacao_488,estacao_162,81,L46,coletora,76626,81
estacao_277,estacao_18,80,L5,avenida,65840,80
estacao_350,estacao_471,37,L15,local,20202,37
estacao_222,estacao_50,98,L41,local,92708,98
estacao_51,estacao_227,22,L45,coletora,21164,22
estacao_14,estacao_23,42,L4,coletora,28686,42
estacao_191,estacao_220,19,L16,local,13490,19
estacao_289,estacao_349,24,L11,avenida,12960,24
estacao_312,estacao_445,49,L40,local,30527,49
estacao_254,estacao_467,75,L10,avenida,55200,75
estacao_326,estacao_130,59,L17,local,29736,59
estacao_460,estacao_411,60,L19,local,46740,60
estacao_80,estacao_37,57,L23,local,37221,57
estacao_327,estacao_492,55,L45,coletora,40315,55
estacao_432,estacao_154,26,L25,coletora,14404,26
estacao_121,estacao_195,74,L23,local,48174,74
estacao_358,estacao_151,3,L43,coletora,1920,3
estacao_4,estacao_289,88,L50,local,87824,88
estacao_25,estacao_466,78,L48,coletora,72228,78
estacao_146,estacao_397,30,L39,coletora,18360,30
estacao_325,estacao_97,80,L17,local,70880,80
estacao_369,estacao_392,85,L44,avenida,69785,85
estacao_49,estacao_462,81,L42,avenida,53298,81
estacao_403,estacao_225,5,L38,coletora,4370,5
estacao_67,estacao_46,38,L21,local,27056,38
estacao_89,estacao_102,17,L35,coletora,13107,17
estacao_256,estacao_467,35,L11,coletora,33845,35
estacao_422,estacao_483,62,L19,local,58590,62
estacao_173,estacao_411,15,L30,avenida,8580,15
estacao_386,estacao_494,29,L44,local,24505,29
estacao_203,estacao_495,72,L24,avenida,65088,72
estacao_202,estacao_7,34,L35,avenida,24888,34
estacao_188,estacao_344,96,L44,coletora,76704,96
estacao_195,estacao_421,82,L24,avenida,69290,82
estacao_119,estacao_241,4,L40,local,2668,4
estacao_468,estacao_312,29,L42,avenida,23925,29
estacao_421,estacao_237,90,L20,local,63810,90
estacao_59,estacao_71,6,L3,coletora,4512,6
estacao_59,estacao_49,31,L35,avenida,21638,31
estacao_232,estacao_189,86,L48,local,84624,86
estacao_276,estacao_214,76,L48,local,44004,76
estacao_453,estacao_212,84,L7,coletora,68460,84
estacao_208,estacao_480,36,L3,local,24804,36
estacao_111,estacao_227,57,L16,coletora,31350,57
estacao_351,estacao_188,70,L42,coletora,37170,70
estacao_203,estacao_141,25,L8,coletora,13650,25
estacao_339,estacao_108,83,L41,local,82751,83
estacao_10,estacao_25,43,L16,avenida,38786,43
estacao_289,estacao_105,9,L49,local,5454,9
estacao_300,estacao_110,30,L22,avenida,27090,30
estacao_461,estacao_305,1,L18,avenida,566,1
estacao_276,estacao_128,23,L8,local,21689,23
estacao_13,estacao_67,2,L23,avenida,1602,2
estacao_165,estacao_8,23,L17,avenida,12972,23
estacao_379,estacao_215,68,L8,local,36176,68
estacao_243,estacao_229,100,L24,local,80300,100
estacao_55,estacao_231,65,L15,local,33930,65
estacao_372,estacao_401,85,L34,coletora,62390,85
estacao_329,estacao_493,4,L4,coletora,3732,4
estacao_205,estacao_218,88,L7,coletora,76032,88
estacao_465,estacao_227,10,L6,coletora,8110,10
estacao_75,estacao_33,17,L18,local,14008,17
estacao_299,estacao_280,92,L21,coletora,74060,92
estacao_271,estacao_150,59,L33,local,42480,59
estacao_50,estacao_406,90,L8,local,74970,90
estacao_449,estacao_393,71,L47,avenida,51120,71
estacao_231,estacao_454,30,L27,coletora,27690,30
estacao_232,estacao_204,54,L47,avenida,35640,54
estacao_218,estacao_160,86,L17,coletora,84968,86
estacao_78,estacao_351,61,L5,avenida,56425,61
estacao_43,estacao_47,56,L7,local,49168,56
estacao_190,estacao_415,17,L36,avenida,13600,17
estacao_489,estacao_287,72,L22,local,40464,72
estacao_210,estacao_181,86,L49,coletora,81184,86
estacao_468,estacao_369,7,L19,local,4613,7
estacao_180,estacao_53,74,L33,avenida,42846,74
estacao_336,estacao_246,29,L7,coletora,27028,29
estacao_284,estacao_188,15,L49,coletora,11895,15
estacao_115,estacao_413,55,L36,local,44770,55
estacao_345,estacao_329,72,L2,local,70200,72
estacao_336,estacao_424,89,L18,avenida,52688,89
estacao_139,estacao_359,98,L20,coletora,66542,98
estacao_3,estacao_92,19,L37,local,13395,19
estacao_35,estacao_72,95,L41,avenida,51870,95
estacao_382,estacao_271,28,L25,coletora,20496,28
estacao_174,estacao_80,48,L20,local,31968,48
estacao_397,estacao_482,73,L39,avenida,69496,73
estacao_26,estacao_79,21,L49,local,11025,21
estacao_345,estacao_41,35,L29,local,25095,35
estacao_248,estacao_310,57,L27,coletora,34770,57
estacao_386,estacao_262,15,L23,coletora,8340,15
estacao_145,estacao_347,87,L38,coletora,66903,87
estacao_341,estacao_157,6,L15,coletora,4836,6
estacao_28,estacao_3,27,L20,avenida,24084,27
estacao_70,estacao_391,33,L19,coletora,18513,33
estacao_3,estacao_254,96,L28,avenida,54336,96
estacao_194,estacao_272,91,L15,local,71526,91
estacao_426,estacao_342,46,L5,coletora,43286,46
estacao_379,estacao_21,56,L2,coletora,54376,56
estacao_39,estacao_441,41,L37,coletora,32513,41
estacao_207,estacao_363,82,L27,coletora,45756,82
estacao_207,estacao_10,42,L11,local,30870,42
estacao_425,estacao_353,47,L6,coletora,43804,47
estacao_54,estacao_124,56,L38,coletora,43008,56
estacao_40,estacao_202,40,L48,coletora,24520,40
estacao_170,estacao_398,22,L5,local,18128,22
estacao_58,estacao_271,66,L13,coletora,44814,66
estacao_372,estacao_490,83,L10,avenida,45816,83
estacao_74,estacao_131,26,L12,local,15028,26
estacao_389,estacao_388,84,L5,avenida,82908,84
estacao_395,estacao_321,64,L30,local,56896,64
estacao_296,estacao_229,88,L37,local,72600,88
estacao_319,estacao_165,81,L21,avenida,58725,81
estacao_34,estacao_240,57,L41,coletora,51699,57
estacao_140,estacao_302,8,L23,local,4296,8
estacao_158,estacao_236,58,L3,avenida,39904,58
estacao_425,estacao_146,10,L42,avenida,8140,10
estacao_304,estacao_259,50,L30,local,39150,50
estacao_488,estacao_405,95,L3,coletora,91675,95
estacao_414,estacao_292,84,L13,coletora,67956,84
estacao_243,estacao_256,20,L4,coletora,11040,20
estacao_415,estacao_460,44,L46,avenida,33352,44
estacao_330,estacao_88,6,L16,local,4344,6
estacao_224,estacao_268,67,L40,avenida,45962,67
estacao_190,estacao_469,37,L25,coletora,33152,37
estacao_173,estacao_347,77,L4,local,63987,77
estacao_171,estacao_33,43,L7,local,36421,43
estacao_197,estacao_145,33,L47,local,32769,33
estacao_464,estacao_308,20,L22,avenida,15960,20
estacao_339,estacao_72,45,L20,local,38565,45
estacao_339,estacao_200,17,L39,local,16660,17
estacao_43,estacao_158,72,L25,local,65160,72
estacao_168,estacao_416,17,L43,local,15708,17
estacao_484,estacao_378,88,L34,avenida,73040,88
estacao_343,estacao_216,66,L24,avenida,45210,66
estacao_158,estacao_92,28,L22,coletora,16744,28
estacao_115,estacao_70,20,L5,coletora,18640,20
estacao_403,estacao_51,65,L50,local,60255,65
estacao_378,estacao_452,68,L3,local,45696,68
estacao_448,estacao_392,80,L9,local,55360,80
estacao_78,estacao_83,24,L45,local,21936,24
estacao_462,estacao_84,93,L29,avenida,66030,93
estacao_186,estacao_346,93,L16,coletora,75516,93
estacao_145,estacao_385,96,L29,avenida,74208,96
estacao_122,estacao_158,61,L13,coletora,51667,61
estacao_484,estacao_292,57,L30,coletora,51186,57
estacao_195,estacao_257,68,L27,avenida,62424,68
estacao_102,estacao_410,78,L9,coletora,41028,78
estacao_328,estacao_246,48,L36,avenida,41472,48
estacao_433,estacao_264,16,L19,avenida,14240,16
estacao_82,estacao_139,58,L33,avenida,53650,58
estacao_223,estacao_46,29,L29,coletora,28304,29
estacao_13,estacao_212,7,L26,local,4837,7
estacao_120,estacao_197,11,L24,avenida,5654,11
estacao_163,estacao_476,13,L46,local,8723,13
estacao_405,estacao_74,18,L3,coletora,17442,18
estacao_424,estacao_241,90,L9,local,66600,90
estacao_229,estacao_315,1,L6,avenida,631,1
estacao_110,estacao_427,20,L36,local,16220,20
estacao_270,estacao_216,15,L50,coletora,9315,15
estacao_154,estacao_62,7,L16,coletora,5789,7
estacao_406,estacao_318,59,L5,avenida,54752,59
estacao_463,estacao_255,77,L35,avenida,63371,77
estacao_263,estacao_294,31,L46,avenida,20119,31
estacao_219,estacao_0,79,L23,avenida,62568,79
estacao_213,estacao_95,86,L43,avenida,66048,86
estacao_499,estacao_184,9,L34,local,6831,9
estacao_402,estacao_259,71,L2,coletora,67237,71
estacao_240,estacao_22,82,L25,coletora,51578,82
estacao_382,estacao_8,46,L5,coletora,28658,46
estacao_375,estacao_336,81,L7,local,70956,81
estacao_387,estacao_170,18,L3,coletora,14022,18
estacao_173,estacao_416,83,L12,local,61171,83
estacao_356,estacao_245,81,L12,avenida,43092,81
estacao_366,estacao_397,59,L3,coletora,35577,59
estacao_22,estacao_405,26,L3,coletora,25402,26
estacao_158,estacao_263,51,L35,coletora,32079,51
estacao_18,estacao_385,83,L13,coletora,56606,83
estacao_441,estacao_399,7,L42,coletora,4473,7
estacao_63,estacao_409,48,L28,coletora,42240,48
estacao_225,estacao_458,50,L22,avenida,37700,50
estacao_354,estacao_254,48,L34,coletora,43680,48
estacao_42,estacao_372,55,L6,coletora,44440,55
estacao_421,estacao_92,70,L19,coletora,38640,70
estacao_40,estacao_167,85,L19,coletora,61880,85
estacao_308,estacao_367,55,L11,local,39985,55
estacao_179,estacao_228,6,L47,coletora,4884,6
estacao_222,estacao_140,82,L4,avenida,69126,82
estacao_326,estacao_207,47,L33,local,39809,47
estacao_81,estacao_487,4,L10,local,3388,4
estacao_400,estacao_224,5,L9,avenida,3100,5
estacao_398,estacao_330,47,L24,coletora,46342,47
estacao_290,estacao_16,78,L10,local,56940,78
estacao_485,estacao_189,48,L29,avenida,38064,48
estacao_70,estacao_271,47,L26,coletora,39104,47
estacao_142,estacao_127,15,L2,local,8925,15
estacao_255,estacao_265,50,L36,avenida,31700,50
estacao_396,estacao_133,91,L29,avenida,73983,91
estacao_146,estacao_355,63,L13,avenida,35847,63
estacao_436,estacao_37,58,L12,local,42166,58
estacao_44,estacao_414,88,L21,local,59576,88
estacao_363,estacao_33,71,L35,coletora,67876,71
estacao_153,estacao_435,21,L46,local,20454,21
estacao_358,estacao_326,23,L24,local,14122,23
estacao_62,estacao_102,18,L16,coletora,9234,18
estacao_184,estacao_283,74,L24,coletora,67414,74
estacao_282,estacao_66,79,L6,avenida,51982,79
estacao_203,estacao_367,93,L31,local,66030,93
estacao_393,estacao_209,74,L5,avenida,73778,74
estacao_162,estacao_328,10,L29,coletora,8480,10
estacao_264,estacao_176,17,L50,local,14059,17
estacao_300,estacao_93,99,L9,coletora,74943,99
estacao_466,estacao_444,8,L8,local,4624,8
estacao_155,estacao_84,21,L21,local,12915,21
estacao_177,estacao_485,67,L19,avenida,42076,67
estacao_100,estacao_325,71,L18,avenida,58220,71
estacao_155,estacao_314,69,L6,local,57132,69
estacao_86,estacao_303,75,L10,avenida,62775,75
estacao_319,estacao_368,78,L22,local,40638,78
estacao_422,estacao_442,4,L6,avenida,3940,4
estacao_328,estacao_394,74,L17,local,44918,74
estacao_392,estacao_292,54,L40,local,27810,54
estacao_254,estacao_455,81,L35,coletora,67068,81
estacao_489,estacao_154,62,L16,local,43834,62
estacao_152,estacao_232,10,L45,avenida,5800,10
estacao_225,estacao_212,62,L30,avenida,41788,62
estacao_310,estacao_73,41,L46,coletora,35875,41
estacao_440,estacao_176,52,L9,coletora,39676,52
estacao_287,estacao_54,41,L16,coletora,23042,41
estacao_136,estacao_230,32,L10,avenida,16800,32
estacao_148,estacao_484,50,L40,coletora,31350,50
estacao_492,estacao_443,21,L21,local,18249,21
estacao_160,estacao_97,98,L11,coletora,74774,98
estacao_239,estacao_255,40,L32,avenida,21840,40
estacao_483,estacao_201,65,L30,avenida,39650,65
estacao_298,estacao_180,7,L4,coletora,5271,7
estacao_305,estacao_451,84,L44,coletora,54264,84
estacao_274,estacao_4,14,L28,avenida,13314,14
estacao_135,estacao_372,47,L49,coletora,32289,47
estacao_23,estacao_205,7,L37,local,4193,7
estacao_185,estacao_283,37,L5,coletora,28046,37
estacao_230,estacao_391,71,L18,local,60208,71
estacao_312,estacao_60,17,L7,coletora,11747,17
estacao_406,estacao_173,72,L24,avenida,43272,72
estacao_308,estacao_260,52,L33,avenida,27196,52
estacao_19,estacao_70,92,L22,coletora,70380,92
estacao_233,estacao_76,78,L33,avenida,52026,78
estacao_476,estacao_313,41,L11,coletora,33415,41
estacao_378,estacao_431,39,L38,coletora,29601,39
estacao_424,estacao_260,69,L32,local,54372,69
estacao_153,estacao_243,3,L24,coletora,2532,3
estacao_56,estacao_213,75,L20,local,70950,75
estacao_352,estacao_322,4,L39,coletora,2540,4
estacao_495,estacao_335,100,L38,local,61600,100
estacao_369,estacao_26,75,L31,avenida,57600,75
estacao_322,estacao_369,80,L50,coletora,46000,80
estacao_420,estacao_348,32,L3,local,31520,32
estacao_358,estacao_56,25,L2,coletora,16500,25
estacao_214,estacao_77,53,L45,avenida,37630,53
estacao_256,estacao_396,79,L31,local,68888,79
estacao_31,estacao_361,18,L34,avenida,14166,18
estacao_166,estacao_339,62,L34,coletora,40920,62
estacao_489,estacao_88,59,L35,coletora,45961,59
estacao_181,estacao_346,99,L47,local,82071,99
estacao_411,estacao_354,34,L40,coletora,20332,34
estacao_490,estacao_126,36,L36,coletora,22140,36
estacao_482,estacao_498,39,L50,coletora,33540,39
estacao_106,estacao_353,91,L32,coletora,67795,91
estacao_178,estacao_286,93,L18,coletora,52266,93
estacao_293,estacao_346,70,L25,coletora,64330,70
estacao_176,estacao_488,99,L10,coletora,51579,99
estacao_147,estacao_489,92,L6,coletora,89516,92
estacao_226,estacao_335,33,L48,coletora,20097,33
estacao_103,estacao_423,69,L18,local,59064,69
estacao_139,estacao_70,14,L40,local,11200,14
estacao_122,estacao_124,7,L43,local,4305,7
estacao_326,estacao_119,7,L7,coletora,4683,7
estacao_367,estacao_241,13,L44,avenida,6526,13
estacao_493,estacao_281,21,L27,local,20538,21
estacao_450,estacao_449,61,L31,local,36722,61
estacao_387,estacao_493,37,L21,coletora,30710,37
estacao_30,estacao_464,99,L6,local,78507,99
estacao_118,estacao_273,95,L47,avenida,91865,95
estacao_471,estacao_89,54,L12,avenida,50112,54
estacao_203,estacao_403,64,L12,local,63488,64
estacao_446,estacao_474,38,L3,avenida,24776,38
estacao_290,estacao_308,14,L22,coletora,10248,14
estacao_328,estacao_278,68,L32,avenida,63580,68
estacao_258,estacao_239,35,L13,avenida,23415,35
estacao_83,estacao_374,59,L42,coletora,51153,59
estacao_95,estacao_7,95,L22,coletora,75050,95
estacao_345,estacao_387,25,L12,local,23450,25
estacao_327,estacao_459,52,L28,local,34684,52
estacao_44,estacao_205,86,L7,avenida,49106,86
estacao_244,estacao_165,32,L1,coletora,22272,32
estacao_120,estacao_228,97,L18,coletora,63438,97
estacao_298,estacao_370,74,L1,coletora,61716,74
estacao_184,estacao_354,31,L4,local,17360,31
estacao_238,estacao_157,21,L26,local,15897,21
estacao_472,estacao_458,91,L50,coletora,77623,91
estacao_60,estacao_327,38,L24,local,23294,38
estacao_112,estacao_490,18,L31,avenida,13176,18
estacao_382,estacao_310,48,L27,local,37488,48
estacao_467,estacao_241,97,L35,local,89434,97
estacao_111,estacao_390,32,L44,local,30304,32
estacao_403,estacao_41,68,L29,local,58480,68
estacao_185,estacao_39,73,L8,avenida,67452,73
estacao_280,estacao_462,65,L13,local,50310,65
